Speaker_ID,L1_Background,Mean_WER,Std_WER,Num_Files,Accent_Strength
HQTV,Vietnamese,0.520864816867467,0.3023298655414788,1132,2
TLV,Vietnamese,0.5156578428442385,0.2704596961431462,1132,3
THV,Vietnamese,0.4786247787352028,0.2454780873677366,1132,3
SKA,Arabic,0.4513321352387061,0.2633594766275279,974,5
EBVS,Spanish,0.4468864675542928,0.3056350074497054,1007,5
LXC,Chinese,0.4105671884849604,0.244524765757442,1131,3
BWC,Chinese,0.3920937592397769,0.2178429827152566,1130,3
NCC,Chinese,0.3872795516694721,0.2180152516072029,1131,2
ERMS,Spanish,0.3827268653019536,0.3359635637879191,1132,3
HKK,Korean,0.3749445416554169,0.2307316445740734,1131,3
ABA,Arabic,0.35890873962176,0.2112515533863557,1129,3
TXHC,Chinese,0.3535359198124215,0.2267525827538286,1132,4
PNV,Vietnamese,0.3380217225844434,0.1977390553597759,1132,1
ZHAA,Arabic,0.3360058105420296,0.1991218979785039,1132,3
NJS,Spanish,0.3231110573285639,0.1969392725893042,1131,3
YBAA,Arabic,0.3228697457900997,0.1932924197558765,1130,3
YKWK,Korean,0.3086625649622997,0.1946664639511013,1131,2
MBMPS,Spanish,0.3080354666927105,0.1835885888956001,1132,2
YDCK,Korean,0.30749131014383,0.1980712809946308,1131,2
TNI,Hindi,0.306594866475503,0.188381285948598,1131,2
RRBI,Hindi,0.2807432243272951,0.1785318398427909,1130,4
HJK,Korean,0.2753878943534116,0.180883154158548,1131,1
ASI,Hindi,0.2646194408793878,0.1654359074732723,1131,3
SVBI,Hindi,0.2605866306838038,0.1740187868959099,1132,5
